,Player,Age,Team,Position,GamesPlayed,Goals,Assists,Points,PlusMinus,PenaltyMinutes,PointShare,EV,PP,SH,GW,EV.1,PP.1,SH.1,Shots,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,SAtt.,Thru%,Pos,GP,GoalsCreated,GoalsPerGame,AssistsPerGame,PointsPerGame,GoalsCreatedPerGame,PenaltyMinutesPerGame,ShotsPerGame,AdjustedGoals,AdjustedAssists,AdjustedPts,AdjustedGoalsCreated,TGF,PGF,TGA,PGA,xGF,xGA,ExpectedPlusMinus,OPS,DPS,PointShares
1,Noel Acciari,30,FLA,C,20,3,5,8,2,11,0.6,3,0,0,1,5,0,0,32,9.4,240,719,16,48,84,82,50.6,204,165,55.3,-1.5,150,119,55.8,-0.2,9.6,89.4,99.1,52.0,48.0,719,638,8,6,52,61.5,C,20,3,0.15,0.25,0.4,0.15,0.55,1.6,3,5,8,3,11,0,13,4,9.4,6.7,2.7,0.4,0.2,0.6
2,Calen Addison,21,MIN,D,15,2,2,4,-4,2,0.3,2,0,0,0,2,0,0,17,11.8,207,827,6,12,0,0,,199,150,57.0,6.3,144,119,54.8,4.2,9.7,84.7,94.4,50.5,49.5,827,736,0,1,36,47.2,D,15,2,0.13,0.13,0.27,0.11,0.13,1.13,2,2,4,2,12,1,15,0,9.8,6.9,3.0,0.3,0.0,0.3
5,Sebastian Aho,24,CAR,F,79,37,44,81,18,38,9.5,23,13,1,9,27,15,2,221,16.7,1497,1137,23,76,555,504,52.4,1163,965,54.7,-1.6,878,771,53.2,-2.9,11.4,90.5,101.8,57.9,42.1,1137,843,68,56,402,55.0,F,79,32,0.47,0.56,1.03,0.4,0.48,2.8,36,42,78,31,111,38,68,13,51.6,44.2,7.4,7.1,2.4,9.5
8,Michael Amadio,25,TOT,C,56,11,7,18,1,15,1.7,11,0,0,2,7,0,0,64,17.2,681,730,16,42,30,42,41.7,684,566,54.7,1.2,502,395,56.0,1.6,7.9,90.2,98.2,51.2,48.8,730,715,26,11,109,58.7,C,56,8,0.2,0.13,0.32,0.14,0.27,1.14,11,7,18,8,29,0,29,1,28.7,24.4,4.3,0.9,0.7,1.7
10,Josh Anderson,27,MTL,RW,69,19,13,32,-25,65,2.1,17,2,0,1,12,1,0,151,12.6,1189,1034,35,153,20,22,47.6,913,1018,47.3,0.6,677,767,46.9,0.9,9.2,88.4,97.6,47.4,52.6,1034,903,33,31,283,53.7,RW,69,14,0.28,0.19,0.46,0.2,0.94,2.19,18,12,30,13,54,9,71,1,38.5,48.4,-10.0,1.6,0.5,2.1
11,Michael Anderson,22,LAK,D,57,2,6,8,6,8,2.6,2,0,0,1,6,0,0,58,3.4,1147,1207,69,133,0,0,,980,841,53.8,0.0,762,645,54.2,-0.7,8.7,90.7,99.4,50.3,49.7,1207,1085,10,26,133,43.6,D,57,3,0.04,0.11,0.14,0.05,0.14,1.02,2,6,8,3,49,0,63,20,43.1,37.7,5.5,-0.4,3.0,2.6
13,Lias Andersson,23,LAK,C,20,1,1,2,-7,12,-0.3,1,0,0,1,0,1,0,29,3.4,212,637,3,23,21,26,44.7,184,206,47.2,-6.1,138,157,46.8,-8.3,2.9,90.8,93.8,59.1,40.9,637,589,2,5,38,76.3,C,20,1,0.05,0.05,0.1,0.04,0.6,1.45,1,1,2,1,4,1,10,0,7.7,9.4,-1.7,-0.3,0.0,-0.3
14,Rasmus Andersson,25,CGY,D,82,4,46,50,30,28,8.6,2,2,0,1,28,17,1,152,2.6,1859,1360,125,63,0,0,,1544,1263,55.0,-0.6,1219,989,55.2,0.3,10.1,90.8,100.9,53.5,46.5,1360,1077,24,44,289,52.6,D,82,15,0.05,0.56,0.61,0.18,0.34,1.85,4,44,48,14,136,39,80,13,78.2,54.2,24.0,3.0,5.7,8.6
17,Mason Appleton,26,TOT,C,68,8,13,21,-1,30,1.2,8,0,0,3,13,0,0,98,8.2,1012,893,20,64,7,15,31.8,803,818,49.5,0.2,596,617,49.1,-0.1,9.0,91.4,100.3,37.0,63.0,893,814,15,13,171,57.3,C,68,8,0.12,0.19,0.31,0.11,0.44,1.44,8,12,20,8,40,1,47,7,33.1,39.5,-6.4,0.0,1.3,1.2
19,Joel Armia,28,MTL,RW,60,6,8,14,-15,14,0.1,4,1,1,0,6,2,0,103,5.8,823,823,27,104,3,14,17.6,606,637,48.8,1.3,442,480,47.9,1.5,6.1,90.7,96.8,49.4,50.6,823,689,30,28,179,57.5,RW,60,5,0.1,0.13,0.23,0.09,0.23,1.72,6,8,14,5,26,4,55,18,28.2,30.0,-1.8,-0.4,0.4,0.1
20,Viktor Arvidsson,28,LAK,LW,66,20,29,49,1,22,5.2,16,4,0,3,25,4,0,227,8.8,1121,1019,45,23,12,21,36.4,1071,833,56.3,2.3,836,607,57.9,3.3,8.6,89.2,97.8,53.7,46.3,1019,860,24,16,412,55.1,LW,66,19,0.3,0.44,0.74,0.29,0.33,3.44,19,28,47,18,68,16,52,1,50.2,38.0,12.2,3.7,1.4,5.2
21,Rasmus Asplund,24,BUF,F,80,8,19,27,-5,10,1.6,5,2,1,1,17,2,0,130,6.2,1142,857,14,30,26,35,42.6,873,781,52.8,5.7,684,610,52.9,7.1,7.8,89.8,97.6,51.2,48.8,857,747,21,23,192,67.7,F,80,10,0.1,0.24,0.34,0.12,0.13,1.63,8,18,26,9,49,8,56,10,38.0,37.1,0.9,0.3,1.3,1.6
22,Zach Aston-Reese,27,TOT,C,69,5,10,15,9,28,0.8,5,0,0,0,10,0,0,78,6.4,900,782,42,231,4,4,50.0,632,683,48.1,-2.4,485,510,48.7,-2.3,8.2,94.0,102.1,33.4,66.6,782,690,19,10,130,60.0,C,69,5,0.07,0.14,0.22,0.08,0.41,1.13,5,10,15,5,31,0,33,11,29.2,28.8,0.4,-0.6,1.4,0.8
23,Andreas Athanasiou,27,LAK,C,28,11,6,17,7,4,2.4,11,0,0,3,5,1,0,71,15.5,427,914,10,11,13,7,65.0,350,347,50.2,-4.1,279,256,52.1,-3.2,11.9,91.5,103.4,51.6,48.4,914,810,15,9,123,57.7,C,28,8,0.39,0.21,0.61,0.28,0.14,2.54,11,6,17,8,25,2,16,0,15.7,15.4,0.2,1.6,0.8,2.4
24,Cam Atkinson,32,PHI,RW,73,23,27,50,-2,10,5.1,18,2,3,6,24,3,0,215,10.7,1332,1095,45,20,5,12,29.4,918,1027,47.2,0.7,695,780,47.1,0.5,11.2,89.9,101.1,54.9,45.1,1095,829,37,28,331,65.0,RW,73,20,0.32,0.37,0.68,0.27,0.14,2.95,22,26,48,19,74,12,85,21,38.1,42.9,-4.8,3.4,1.7,5.1
25,Ronald Attard,22,PHI,D,15,2,2,4,-2,8,0.7,2,0,0,0,2,0,0,16,12.5,249,996,17,24,0,0,,209,199,51.2,4.8,148,146,50.3,2.7,10.5,87.7,98.3,52.3,47.7,996,876,6,9,45,35.6,D,15,2,0.13,0.13,0.27,0.11,0.53,1.07,2,2,4,2,12,0,15,1,9.5,10.4,-0.9,0.3,0.4,0.7
26,Nicolas Aube-Kubel,25,TOT,RW,74,11,12,23,11,47,2.3,11,0,0,2,12,0,0,87,12.6,726,589,18,140,3,9,25.0,603,643,48.4,-4.3,445,489,47.6,-4.1,8.5,94.6,103.1,38.2,61.8,589,582,17,20,152,57.2,RW,74,9,0.15,0.16,0.31,0.12,0.64,1.18,11,11,22,9,30,0,19,0,30.1,28.1,2.1,1.2,1.1,2.3
27,Mikael Backlund,32,CGY,C,82,12,27,39,16,30,3.0,12,0,0,1,20,7,0,214,5.6,1404,1027,27,62,621,608,50.5,1195,900,57.0,2.2,907,696,56.6,2.2,8.1,92.7,100.8,49.8,50.2,1027,819,55,44,355,60.3,C,82,14,0.15,0.33,0.48,0.17,0.37,2.61,12,26,38,14,65,11,59,21,53.8,41.7,12.0,1.0,2.0,3.0
28,Nicklas Backstrom,34,WSH,C,47,6,25,31,-8,12,2.0,5,1,0,1,12,13,0,68,8.8,822,1049,16,16,301,348,46.4,594,605,49.5,-0.7,449,448,50.1,-1.2,11.1,87.5,98.6,61.5,38.5,1049,822,25,13,121,56.2,C,47,10,0.13,0.53,0.66,0.22,0.26,1.45,6,24,30,10,60,26,43,1,24.6,28.5,-3.9,1.4,0.6,2.0
31,Kevin Bahl,21,NJD,D,17,1,3,4,-6,10,0.3,1,0,0,0,3,0,0,16,6.3,268,945,15,28,0,0,,211,239,46.9,-1.8,166,186,47.2,0.4,9.3,86.9,96.2,39.1,60.9,945,881,4,3,30,53.3,D,17,1,0.06,0.18,0.24,0.08,0.59,0.94,1,3,4,1,11,0,19,2,9.8,12.1,-2.3,0.2,0.1,0.3
